user_id,n,sum,min,max
1000616411022294,587,40158.06,-75000.0,103015.86
1000616411022299,300,17494.280000000002,-60000.0,36683.0
1000616411022301,5534,-49716.8699999994,-400000.0,729523.19
1000616411022308,906,-64515.990000000034,-30000.0,30000.0
1000616411022344,6275,-11696.750000000064,-12000.0,24000.0
1000616411022345,2708,35682.56999999998,-21768.46,21768.46
1000616411022355,1203,-33700.74000000002,-11345.62,17700.0
1000616411022362,4218,-3342.9400000001315,-11408.87,14450.0
1000616411022366,8372,-6404.330000000092,-125000.0,217063.0
1000616411022367,6152,240.41999999999462,-7734.56,16970.0
1000616411022370,7477,6879.879999999942,-10000.0,11982.94
1000616411022377,1957,626.1299999999934,-5000.0,20000.0
1000616411022385,3586,-4134.380000000001,-33000.0,33000.0
1000616411022390,5976,-774.679999999846,-45800.0,51056.3
1000616411022401,4825,147.61999999995805,-18000.0,25744.44
1000616411022410,2707,133286.98999999985,-17149.56,17149.56
1000616411022413,3882,-57700.02000000014,-53000.0,52022.47
1000616411022415,2144,-19020.37000000004,-110000.0,110000.0
1000616411022419,7314,-9565.499999999993,-30767.56,28788.8
1000616411022421,5619,-7731.08999999996,-7000.0,22500.0
1000616411022432,11422,-91427.60000000005,-48722.11,45000.0
1000616411022436,3464,-324162.7899999962,-749466.0,360267.0
1000616411022452,3214,-2870.5799999999776,-4100.0,6200.0
1000616411022471,158,41949.62000000001,-6200.0,6200.0
